Occupation,OCC_CODE,OCC_GROUP,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_MEDIAN,A_MEAN_SE,A_MEDIAN_SE,TOT_EMP_SE,A_MEAN_ME,A_MEDIAN_ME,TOT_EMP_ME
Computer and Information Research Scientists,15-1111,detailed,27920,3.4,119570.0,1.4,114520.0,1673.98,2097.999134,949.28,3281.0008,4112.07830264,1860.5888
Computer Systems Analysts,15-1121,detailed,581960,1.0,92740.0,0.3,88270.0,278.22,348.69312600000006,5819.6,545.3112000000001,683.4385269600001,11406.416000000001
Information Security Analysts,15-1122,detailed,105250,2.2,99690.0,0.6,95510.0,598.14,749.6488620000001,2315.5000000000005,1172.3544,1469.3117695200003,4538.380000000001
Computer Programmers,15-1131,detailed,247690,1.9,87530.0,1.0,82240.0,875.3,1097.01349,4706.11,1715.588,2150.1464404,9223.9756
"Software Developers, Applications",15-1132,detailed,849230,1.3,106710.0,0.9,101790.0,960.39,1203.6567870000001,11039.99,1882.3644,2359.1673025200002,21638.3804
"Software Developers, Systems Software",15-1133,detailed,394590,1.3,111780.0,0.4,107600.0,447.12,560.3754960000001,5129.67,876.3552,1098.3359721600002,10054.1532
Web Developers,15-1134,detailed,125890,1.3,74110.0,0.6,67990.0,444.66,557.292378,1636.57,871.5336,1092.29306088,3207.6771999999996
Database Administrators,15-1141,detailed,113690,1.1,89050.0,0.3,87020.0,267.15,334.819095,1250.5900000000001,523.6139999999999,656.2454262,2451.1564000000003
Network and Computer Systems Administrators,15-1142,detailed,375040,0.8,86340.0,0.3,81100.0,259.02,324.629766,3000.32,507.6792,636.27434136,5880.6272
Computer Network Architects,15-1143,detailed,157830,1.6,107870.0,0.5,104650.0,539.35,675.9673550000001,2525.28,1057.126,1324.8960158000002,4949.5488000000005
Computer User Support Specialists,15-1151,detailed,613780,0.7,54150.0,0.4,50210.0,216.6,271.46478,4296.46,424.536,532.0709688000001,8421.061599999999
Computer Network Support Specialists,15-1152,detailed,186230,1.2,67510.0,0.4,62340.0,270.04,338.441132,2234.76,529.2784,663.34461872,4380.1296
"Computer Occupations, All Other",15-1199,detailed,315830,0.9,91080.0,0.4,88510.0,364.32,456.60225600000007,2842.47,714.0672,894.9404217600002,5571.2411999999995
Actuaries,15-2011,detailed,19210,3.8,114850.0,1.2,101560.0,1378.2,1727.29806,729.98,2701.272,3385.5041976,1430.7608
Mathematicians,15-2021,detailed,2730,4.8,104700.0,1.9,103010.0,1989.3,2493.18969,131.04,3899.028,4886.6517924,256.8384
Operations Research Analysts,15-2031,detailed,106050,2.2,86510.0,0.6,81390.0,519.06,650.537898,2333.1000000000004,1017.3575999999998,1275.0542800800001,4572.876
Statisticians,15-2041,detailed,36540,2.2,88980.0,0.7,84060.0,622.8599999999999,780.630438,803.88,1220.8055999999997,1530.03565848,1575.6048
Miscellaneous Mathematical Science Occupations,15-2090,detailed,2000,8.9,73670.0,3.1,57890.0,2283.77,2862.2489410000003,178.0,4476.1892,5610.00792436,348.88
